insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (127, 629, 26, 104, 672);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (20, 612, 42, 38, 35);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (14, 136, 26, 82, 234);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (97, 565, 144, 214, 467);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (11, 236, 137, 287, 643);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (38, 978, 74, 171, 64);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (5, 333, 7, 183, 524);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (91, 386, 98, 292, 188);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (72, 371, 114, 218, 440);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (63, 772, 28, 157, 495);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (142, 523, 131, 57, 146);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (117, 439, 147, 51, 598);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (82, 79, 19, 227, 434);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (87, 1, 98, 274, 344);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (43, 469, 80, 137, 33);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (98, 94, 17, 124, 642);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (138, 822, 82, 87, 61);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (111, 303, 107, 252, 111);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (57, 528, 39, 117, 545);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (129, 238, 62, 164, 637);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (70, 350, 8, 137, 99);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (104, 79, 79, 121, 249);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (110, 299, 57, 54, 600);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (94, 983, 125, 128, 42);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (128, 819, 132, 165, 127);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (32, 848, 92, 288, 530);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (103, 483, 92, 190, 530);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (17, 992, 57, 131, 180);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (47, 326, 71, 282, 193);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (14, 861, 64, 256, 312);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (109, 641, 13, 120, 305);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (114, 921, 38, 173, 317);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (34, 738, 87, 94, 461);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (100, 196, 12, 152, 594);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (133, 284, 32, 181, 178);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (88, 62, 65, 266, 505);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (106, 285, 92, 183, 81);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (38, 360, 111, 81, 43);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (123, 902, 133, 101, 560);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (60, 366, 91, 89, 459);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (133, 965, 69, 248, 492);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (103, 973, 129, 90, 99);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (128, 328, 8, 133, 429);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (53, 295, 147, 122, 152);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (36, 130, 152, 259, 446);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (86, 131, 66, 197, 91);
--insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (112, 808, 2, 81, 240);
--insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (19, 553, 128, 65, 573);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (35, 525, 137, 59, 156);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (52, 816, 107, 64, 451);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (107, 832, 5, 208, 692);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (71, 326, 129, 224, 425);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (84, 603, 89, 230, 683);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (17, 600, 73, 212, 550);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (98, 959, 5, 103, 289);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (45, 734, 92, 247, 508);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (76, 166, 1, 117, 122);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (47, 47, 41, 84, 182);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (86, 299, 75, 187, 260);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (30, 21, 73, 153, 416);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (126, 552, 121, 111, 510);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (35, 975, 97, 256, 411);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (28, 87, 74, 187, 595);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (132, 878, 24, 254, 518);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (8, 58, 111, 143, 451);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (56, 128, 98, 74, 360);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (110, 413, 32, 244, 478);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (22, 454, 1, 79, 44);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (129, 724, 52, 151, 332);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (113, 102, 69, 104, 657);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (91, 12, 21, 71, 494);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (22, 964, 111, 288, 122);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (46, 920, 41, 35, 486);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (43, 60, 53, 157, 132);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (34, 186, 58, 202, 505);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (12, 169, 7, 41, 452);
--insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (112, 426, 67, 235, 542);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (129, 906, 23, 222, 601);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (86, 568, 66, 195, 297);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (40, 84, 109, 134, 360);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (85, 300, 147, 242, 578);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (140, 526, 127, 109, 645);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (55, 817, 122, 165, 505);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (32, 810, 16, 80, 284);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (113, 381, 20, 189, 687);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (14, 967, 86, 207, 570);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (41, 633, 125, 237, 687);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (110, 972, 100, 51, 677);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (40, 170, 71, 191, 325);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (100, 22, 60, 247, 406);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (105, 715, 48, 39, 602);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (51, 259, 33, 40, 356);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (50, 12, 105, 296, 340);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (7, 995, 40, 104, 240);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (35, 177, 90, 280, 131);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (47, 5, 70, 271, 318);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (38, 13, 141, 174, 426);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (124, 714, 79, 58, 453);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (75, 532, 101, 215, 341);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (17, 562, 143, 278, 567);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (103, 947, 61, 79, 167);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (124, 126, 73, 211, 265);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (131, 609, 61, 281, 393);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (119, 952, 126, 193, 286);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (97, 895, 102, 42, 189);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (131, 649, 131, 135, 643);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (37, 38, 152, 231, 538);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (36, 149, 123, 191, 466);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (32, 109, 66, 241, 649);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (4, 15, 59, 140, 442);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (7, 237, 139, 84, 615);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (5, 913, 138, 215, 105);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (103, 168, 119, 270, 478);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (25, 944, 47, 287, 677);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (30, 559, 61, 164, 305);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (66, 689, 94, 115, 296);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (71, 998, 6, 269, 593);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (94, 964, 87, 280, 582);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (53, 976, 54, 49, 116);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (71, 438, 117, 256, 288);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (116, 321, 151, 205, 198);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (90, 811, 119, 137, 679);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (12, 540, 19, 193, 480);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (37, 220, 95, 49, 157);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (76, 411, 14, 74, 450);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (42, 743, 154, 137, 527);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (8, 582, 92, 297, 576);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (111, 728, 103, 257, 251);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (54, 695, 149, 197, 518);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (71, 653, 76, 116, 590);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (126, 410, 149, 165, 399);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (29, 990, 70, 69, 654);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (92, 275, 32, 134, 313);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (36, 200, 118, 192, 224);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (35, 759, 152, 82, 481);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (5, 48, 123, 230, 239);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (63, 683, 40, 224, 308);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (18, 339, 40, 117, 396);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (133, 303, 21, 234, 364);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (32, 46, 48, 274, 323);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (49, 160, 95, 291, 236);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (13, 881, 122, 194, 300);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (118, 773, 3, 64, 191);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (27, 168, 64, 251, 258);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (12, 931, 70, 73, 420);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (2, 173, 130, 43, 368);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (52, 80, 80, 284, 392);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (133, 84, 122, 236, 684);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (79, 783, 48, 118, 511);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (4, 777, 148, 281, 434);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (72, 1, 91, 239, 567);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (119, 486, 128, 262, 220);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (136, 222, 110, 155, 272);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (121, 979, 70, 137, 627);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (113, 888, 83, 260, 30);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (117, 947, 62, 226, 204);
--insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (1, 932, 96, 196, 532);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (110, 93, 142, 42, 585);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (61, 239, 121, 171, 131);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (142, 608, 119, 278, 306);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (46, 980, 137, 52, 576);
--insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (1, 137, 35, 163, 662);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (57, 299, 102, 286, 269);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (48, 254, 120, 187, 252);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (8, 823, 11, 257, 529);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (62, 987, 141, 108, 356);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (13, 490, 84, 65, 336);
--insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (99, 999, 78, 206, 441);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (120, 84, 135, 89, 93);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (78, 732, 62, 261, 203);
insert into MedicationInStock (StoredMedication_Id , InternalMovement_Id, Location_Id, Stock, SellingPrice) values (77, 831, 101, 42, 380);
