insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (449, 'Faker Internal Movement', 'Lot E', '30/06/2023', '25/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (211, 'Faker Internal Movement', 'Lot C', '01/03/2023', '05/08/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (987, 'Faker Internal Movement', 'Lot B', '18/03/2023', '30/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (461, 'Faker Internal Movement', 'Lot B', '18/08/2023', '10/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (841, 'Faker Internal Movement', 'Lot E', '05/08/2023', '26/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (15, 'Faker Internal Movement', 'Lot C', '17/06/2023', '18/10/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (208, 'Faker Internal Movement', 'Lot E', '03/05/2023', '26/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (492, 'Faker Internal Movement', 'Lot A', '29/10/2022', '17/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (63, 'Faker Internal Movement', 'Lot E', '26/05/2023', '31/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (982, 'Faker Internal Movement', 'Lot C', '14/01/2023', '07/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (490, 'Faker Internal Movement', 'Lot B', '25/06/2023', '05/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (951, 'Faker Internal Movement', 'Lot A', '07/07/2023', '15/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (188, 'Faker Internal Movement', 'Lot A', '10/04/2023', '14/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (438, 'Faker Internal Movement', 'Lot C', '08/06/2023', '18/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (75, 'Faker Internal Movement', 'Lot A', '19/07/2023', '14/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (962, 'Faker Internal Movement', 'Lot C', '29/01/2023', '20/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (338, 'Faker Internal Movement', 'Lot B', '21/02/2023', '21/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (710, 'Faker Internal Movement', 'Lot A', '01/04/2023', '30/03/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (166, 'Faker Internal Movement', 'Lot D', '27/07/2023', '28/03/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (573, 'Faker Internal Movement', 'Lot E', '14/10/2022', '13/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (979, 'Faker Internal Movement', 'Lot D', '16/06/2023', '09/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (894, 'Faker Internal Movement', 'Lot D', '16/10/2022', '12/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (773, 'Faker Internal Movement', 'Lot B', '04/03/2023', '14/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (636, 'Faker Internal Movement', 'Lot A', '04/01/2023', '18/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (863, 'Faker Internal Movement', 'Lot B', '25/07/2023', '15/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (337, 'Faker Internal Movement', 'Lot A', '15/03/2023', '09/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (850, 'Faker Internal Movement', 'Lot D', '01/07/2023', '01/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (976, 'Faker Internal Movement', 'Lot E', '27/06/2023', '24/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (682, 'Faker Internal Movement', 'Lot C', '28/07/2023', '13/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (743, 'Faker Internal Movement', 'Lot B', '03/04/2023', '04/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (355, 'Faker Internal Movement', 'Lot B', '03/08/2023', '04/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (358, 'Faker Internal Movement', 'Lot A', '18/08/2023', '11/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (429, 'Faker Internal Movement', 'Lot E', '26/07/2023', '19/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (905, 'Faker Internal Movement', 'Lot B', '10/08/2023', '28/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (284, 'Faker Internal Movement', 'Lot C', '24/10/2022', '21/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (302, 'Faker Internal Movement', 'Lot E', '04/11/2022', '13/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (623, 'Faker Internal Movement', 'Lot B', '23/04/2023', '18/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (370, 'Faker Internal Movement', 'Lot E', '26/11/2022', '05/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (54, 'Faker Internal Movement', 'Lot B', '19/05/2023', '27/03/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (352, 'Faker Internal Movement', 'Lot C', '16/04/2023', '26/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (617, 'Faker Internal Movement', 'Lot B', '24/04/2023', '25/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (268, 'Faker Internal Movement', 'Lot E', '31/10/2022', '18/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (416, 'Faker Internal Movement', 'Lot A', '26/12/2022', '20/03/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (532, 'Faker Internal Movement', 'Lot C', '14/05/2023', '15/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (778, 'Faker Internal Movement', 'Lot E', '16/12/2022', '05/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (810, 'Faker Internal Movement', 'Lot E', '19/05/2023', '12/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (694, 'Faker Internal Movement', 'Lot D', '27/02/2023', '27/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (324, 'Faker Internal Movement', 'Lot E', '21/04/2023', '21/10/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (887, 'Faker Internal Movement', 'Lot A', '26/07/2023', '22/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (743, 'Faker Internal Movement', 'Lot A', '07/04/2023', '08/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (279, 'Faker Internal Movement', 'Lot A', '15/07/2023', '09/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (861, 'Faker Internal Movement', 'Lot C', '02/12/2022', '09/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (824, 'Faker Internal Movement', 'Lot A', '15/01/2023', '12/08/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (836, 'Faker Internal Movement', 'Lot A', '24/08/2023', '20/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (104, 'Faker Internal Movement', 'Lot B', '07/05/2023', '02/01/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (839, 'Faker Internal Movement', 'Lot E', '20/04/2023', '11/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (442, 'Faker Internal Movement', 'Lot B', '06/01/2023', '04/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (380, 'Faker Internal Movement', 'Lot B', '26/07/2023', '30/03/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (422, 'Faker Internal Movement', 'Lot E', '16/07/2023', '02/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (521, 'Faker Internal Movement', 'Lot B', '18/03/2023', '04/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (363, 'Faker Internal Movement', 'Lot C', '05/07/2023', '29/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (594, 'Faker Internal Movement', 'Lot D', '19/05/2023', '24/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (161, 'Faker Internal Movement', 'Lot C', '16/01/2023', '29/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (416, 'Faker Internal Movement', 'Lot C', '06/03/2023', '05/07/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (947, 'Faker Internal Movement', 'Lot B', '19/05/2023', '30/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (240, 'Faker Internal Movement', 'Lot C', '31/05/2023', '01/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (751, 'Faker Internal Movement', 'Lot E', '19/02/2023', '17/06/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (297, 'Faker Internal Movement', 'Lot B', '13/04/2023', '14/11/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (309, 'Faker Internal Movement', 'Lot A', '04/04/2023', '07/03/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (931, 'Faker Internal Movement', 'Lot C', '30/07/2023', '17/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (59, 'Faker Internal Movement', 'Lot C', '21/03/2023', '22/02/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (411, 'Faker Internal Movement', 'Lot A', '04/05/2023', '06/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (570, 'Faker Internal Movement', 'Lot D', '12/05/2023', '26/03/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (386, 'Faker Internal Movement', 'Lot C', '07/05/2023', '14/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (572, 'Faker Internal Movement', 'Lot E', '14/05/2023', '09/08/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (171, 'Faker Internal Movement', 'Lot C', '18/03/2023', '10/05/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (944, 'Faker Internal Movement', 'Lot B', '26/07/2023', '15/08/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (190, 'Faker Internal Movement', 'Lot A', '09/06/2023', '13/04/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (773, 'Faker Internal Movement', 'Lot C', '31/03/2023', '20/10/2022');
--insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (354, 'Faker Internal Movement', 'Lot A', '06/11/2022', '17/10/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (548, 'Faker Internal Movement', 'Lot A', '07/04/2023', '01/12/2022');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (550, 'Faker Internal Movement', 'Lot E', '08/07/2023', '21/08/2023');
insert into InternalMovement (StoredMedication_Id, Description, Batch, Date, Created_at) values (823, 'Faker Internal Movement', 'Lot D', '15/01/2023', '05/12/2022');
